ID,Clan Tag,Clan Name
500035734,_DN4_,_ Dark Negative 4ntiSocial _
500021052,_DNA_,Dark Negative AntiSocial
500136477,_FGD_,French Ghost Division
500058750,_FTB_,-Feel The Boss-
500073097,_LDG_,Les Dieux de la Guerre
500025598,_LTN_,Les Templiers Noirs
500061795,_L_L_,La Ligue
500026057,_MC__,Monte Cristo
500025010,_NSC_,Noobs Spécial Compagny
500072492,_PAF_,Les potes au feu
500181356,_PTS,PATRIOTES
500168259,_R4M_,Recrue de l'Académie Militaire
500167518,_RFH_,Reborn From Hell
500142928,_TFS_,The Flying Scouts
500166949,_TLW,The Lone Wolf
500033003,_UNI,United Nations International
500187558,_V7_,V7_Is_Back
500216345,_VNR_,NO PEN NO RAGE
500034569,-JPW-,FR
500267107,9LDD,La 9 ème Légion Des Dragons
500048902,-50-,TANKUL
500049727,-CSR-,CLAN SPECIAL RUSH LECOMBATIF
500160095,-CTU-,Cobra Tank Unit
500010092,-FTS-,French Tigers
500187018,-GENT,GENTLEMAN'S
500054481,-ISD-,-Iron Shield Division-
500221625,-L5D-,Les Scorpions du Désert
500193311,-LBD-,Les Blindés Déglingués
500167592,-MAR-,Leclerc Division Blindée
500030165,-RCC-,503 ème Régiment de Chars de Combat
500023415,00X00,502 eme FFI
500052520,1REC,1er REC
500149377,2GAUL,Les Seigneur de la Guerre
500022767,2GF,Les Grandes Gueules Françaises
500063376,3RDF,3ème Régiment de Dragons de France
500069754,3_RD,3 ème Régiment de Dragons
500071880,5ERD,Le 5e régiment de dragons
500062790,6-4-2,Brigade Blindées Motorisées
500035033,6-BLB,6e Brigade Légère Blindée Française
500029346,A-F-T,association francaise des tankistes
500008205,A-T,Army-Terror
500017178,ABC,Arme blindée Cavalerie
500071757,ACDC-,[ACDC-34] Assaut. Courage. Destruction. Combat
500145263,AK_SD,AnnoracK SquaD
500180090,APER0,Armée de Purs Engins Roulants Onduleux
500073076,ARAC,arachnide
500180388,ARC-,Arctic Wolves
500190672,AT-FE,Attaquants de fer français
500159090,ATX37,Agence Tours X
500188154,AWFR,ALLIANCE WOT FR
500173343,B0OB5,Bande 0bstinément Optimiste Bougrement 5ympathique
500029750,CL-1,Les chars légendaire
500055783,COLT,CoolTeam
500135070,COUQ,LaMarmaille
500183619,CR0A,CORBAC
500068040,D-B-A,La Division Blindée des As
500189061,D-GS,Dragoon Guards
500204407,D7C,Les Dieux du 7ème Ciel
500058997,DODUS,Fédération des volailles en colères
500182034,DR-TE,La-DreamTeam
500068156,E-NS,Entre_Nous
500157501,E-O-S,Elite Of Soldiers
500023820,EGZ,Extrem Gamer Z
500055509,ENDS,FR1ENDS
500010660,ENF,Escadron Noir Français
500071679,F-A-B,Faction Armée Blindée
500191178,F-FT,Fédération Française Des Tankistes
500161730,FAST_,Les Résistant
500035272,FAS_A,French Armored Squad Academy
500018351,FBF,Front des Bretons Fou
500056885,FCM,Fédération des Blindées Français
